Ticker,CIK,Company,Exchange,Country,Currency,Sector,Industry,MarketCap,Price,UpdatedAt,BidPrice,AskPrice,BidSize,AskSize,AfterHoursVolume,QuoteTimestamp,Spread,SpreadPct
DBVT,0001613780,DBV Technologies S.A.,NASDAQ,FR,USD,Healthcare,Biotechnology,343516172.0,14.36,2025-11-05T12:38:51.423402,14.36,14.65,22.0,1400.0,43904.0,2025-11-05T12:39:26Z,0.2900000000000009,1.999310582557745
GNFT,0001757064,Genfit S.A.,NASDAQ,FR,USD,Healthcare,Biotechnology,201676493.0,4.05,2025-11-05T12:38:51.424555,4.04,4.1,600.0,600.0,853.0,2025-11-05T12:40:07Z,0.05999999999999961,1.4742014742014646
RAAQ,0002052161,Real Asset Acquisition Corp.,NASDAQ,US,USD,Financial Services,Shell Companies,237590000.0,10.33,2025-11-05T12:38:51.425966,10.33,10.46,1.0,1.0,13636.0,2025-11-04T21:00:00Z,0.13000000000000078,1.250601250601258
NMP,0002054876,NMP Acquisition Corp.,NASDAQ,US,USD,Financial Services,Shell Companies,28838950.0,10.0,2025-11-05T12:38:51.426286,9.99,10.01,11.0,0.0,198413.0,2025-11-04T21:00:00Z,0.019999999999999574,0.19999999999999576
BDTX,0001701541,"Black Diamond Therapeutics, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,206105710.0,3.62,2025-11-05T12:38:51.426558,3.62,3.7,8876.0,100.0,401.0,2025-11-05T12:40:35Z,0.08000000000000007,2.1857923497267775
AUDC,0001086434,AudioCodes Ltd.,NASDAQ,IL,USD,Technology,Communication Equipment,271822758.0,9.32,2025-11-05T12:38:51.428424,9.36,9.38,169.0,100.0,1549.0,2025-11-05T12:38:49Z,0.02000000000000135,0.21344717182498768
TNXP,0001430306,Tonix Pharmaceuticals Holding Corp.,NASDAQ,US,USD,Healthcare,Biotechnology,153661511.0,17.53,2025-11-05T12:38:51.429684,17.59,17.7,30.0,130.0,945.0,2025-11-05T12:36:43Z,0.10999999999999943,0.6234060640408016
TNYA,0001858848,"Tenaya Therapeutics, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,224907021.0,1.38,2025-11-05T12:38:51.429882,1.38,1.45,1719.0,4575.0,5181.0,2025-11-05T12:39:10Z,0.07000000000000006,4.9469964664310995
DXYZ,0001843974,Destiny Tech100 Inc.,NYSE,US,USD,Financial Services,Asset Management,273629611.0,25.15,2025-11-05T12:38:51.431142,25.75,25.78,100.0,96.0,0.0,2025-11-05T12:40:43Z,0.030000000000001137,0.11643702697458232
SGMT,0001400118,Sagimet Biosciences Inc.,NASDAQ,US,USD,Healthcare,Biotechnology,235918439.0,7.61,2025-11-05T12:38:51.431172,7.62,7.72,2.0,1.0,237.0,2025-11-04T21:00:01Z,0.09999999999999964,1.3037809647979093
