CIK,Ticker,FilingDate,FilingURL,ItemsPresent,IsCatalyst,CatalystType,Tier1Type,Tier1Trigger,IsDilution,DilutionTags,IgnoreReason
0002011514,AVR,2024-12-09,https://www.sec.gov/Archives/edgar/data/2011514/000114036125007340/0001140361-25-007340.txt,5.02,False,NONE,,,True,UNDERWRITTEN,
0001636651,OVID,2025-03-05,https://www.sec.gov/Archives/edgar/data/1636651/000119312525047174/0001193125-25-047174.txt,5.02,False,NONE,,,True,ATM,
0000012239,DOMH,2024-12-20,https://www.sec.gov/Archives/edgar/data/12239/000121390024111190/0001213900-24-111190.txt,5.02,True,Tier-2,,,False,,
0001171759,RRGB,2025-02-11,https://www.sec.gov/Archives/edgar/data/1171759/000095014225000317/0000950142-25-000317.txt,5.02,False,NONE,,,True,SHELF,
0001915380,DMYY,2025-02-27,https://www.sec.gov/Archives/edgar/data/1915380/000119312525039326/0001193125-25-039326.txt,8.01,False,NONE,,,True,WARRANTS,Non-binding LOI
0001915380,DMYY,2025-01-29,https://www.sec.gov/Archives/edgar/data/1915380/000119312525015835/0001193125-25-015835.txt,8.01,False,NONE,,,True,WARRANTS,
0001915380,DMYY,2024-12-27,https://www.sec.gov/Archives/edgar/data/1915380/000119312524285990/0001193125-24-285990.txt,8.01,False,NONE,,,True,WARRANTS,
0001915380,DMYY,2024-12-02,https://www.sec.gov/Archives/edgar/data/1915380/000119312524269024/0001193125-24-269024.txt,8.01,False,NONE,,,True,WARRANTS,Non-binding LOI
0001915380,DMYY,2024-10-29,https://www.sec.gov/Archives/edgar/data/1915380/000119312524246626/0001193125-24-246626.txt,8.01,False,NONE,,,True,WARRANTS,
0001516551,SKYE,2024-10-24,https://www.sec.gov/Archives/edgar/data/1516551/000151655124000091/0001516551-24-000091.txt,5.02;9.01,True,Tier-2,,,False,,
0000849145,HGBL,2025-02-12,https://www.sec.gov/Archives/edgar/data/849145/000095017025018808/0000950170-25-018808.txt,1.01;1.01,True,Tier-2,,,False,,
0000849145,HGBL,2025-01-03,https://www.sec.gov/Archives/edgar/data/849145/000095017025001095/0000950170-25-001095.txt,5.02,True,Tier-2,,,False,,
0001665300,PHUN,2025-03-06,https://www.sec.gov/Archives/edgar/data/1665300/000095017025034700/0000950170-25-034700.txt,8.01,True,Tier-1,FUNDED_AWARD,$0.0001,False,,
0001665300,PHUN,2024-11-04,https://www.sec.gov/Archives/edgar/data/1665300/000095017024120271/0000950170-24-120271.txt,5.02,True,Tier-2,,,False,,
0001943802,FSEA,2025-01-31,https://www.sec.gov/Archives/edgar/data/1943802/000094337425000036/0000943374-25-000036.txt,5.02,True,Tier-2,,,False,,
0001823466,NOTE,2025-02-21,https://www.sec.gov/Archives/edgar/data/1823466/000119312525032009/0001193125-25-032009.txt,5.02,False,NONE,,,True,WARRANTS,
0001288855,OPHC,2025-01-29,https://www.sec.gov/Archives/edgar/data/1288855/000149315225004091/0001493152-25-004091.txt,5.02;9.01,False,NONE,,,True,SHELF,
0001971532,TELO,2025-02-25,https://www.sec.gov/Archives/edgar/data/1971532/000149315225008195/0001493152-25-008195.txt,8.01,True,Tier-1,FUNDED_AWARD,$ 0,False,,
0001971532,TELO,2025-02-20,https://www.sec.gov/Archives/edgar/data/1971532/000149315225007698/0001493152-25-007698.txt,8.01,False,NONE,,,True,ATM,
0001971532,TELO,2025-02-18,https://www.sec.gov/Archives/edgar/data/1971532/000149315225007080/0001493152-25-007080.txt,8.01,False,NONE,,,True,ATM,
0001971532,TELO,2025-01-28,https://www.sec.gov/Archives/edgar/data/1971532/000149315225003909/0001493152-25-003909.txt,8.01,False,NONE,,,True,ATM,
0001971532,TELO,2025-01-07,https://www.sec.gov/Archives/edgar/data/1971532/000149315225001112/0001493152-25-001112.txt,8.01,False,NONE,,,False,,Non-binding LOI
0001971532,TELO,2024-12-23,https://www.sec.gov/Archives/edgar/data/1971532/000149315224051191/0001493152-24-051191.txt,8.01,False,NONE,,,True,ATM;PIPE,
0001971532,TELO,2024-12-11,https://www.sec.gov/Archives/edgar/data/1971532/000149315224049630/0001493152-24-049630.txt,3.02;8.01;3.02;8.01,False,NONE,,,True,WARRANTS,
0001971532,TELO,2024-12-02,https://www.sec.gov/Archives/edgar/data/1971532/000149315224048285/0001493152-24-048285.txt,8.01,False,NONE,,,True,ATM;UNDERWRITTEN,
0001971532,TELO,2024-11-21,https://www.sec.gov/Archives/edgar/data/1971532/000149315224047145/0001493152-24-047145.txt,5.02,False,NONE,,,True,UNDERWRITTEN,
0001971532,TELO,2024-11-20,https://www.sec.gov/Archives/edgar/data/1971532/000149315224046982/0001493152-24-046982.txt,8.01,False,NONE,,,True,ATM,
0002028293,RAIN,2025-02-24,https://www.sec.gov/Archives/edgar/data/2028293/000121390025016645/0001213900-25-016645.txt,9.01,False,NONE,,,True,WARRANTS,
0001719406,NRXP,2025-01-14,https://www.sec.gov/Archives/edgar/data/1719406/000143774925001113/0001437749-25-001113.txt,5.02;8.01;5.02,False,NONE,,,True,WARRANTS,
