url,form_type,status,note,source,extra
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007147/d12044974_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007147/d12044974_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007121/d12044595_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007121/d12044595_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007120/d12044296_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007120/d12044296_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007083/d12042249_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007083/d12042249_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425006545/d12037465_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425006545/d12037465_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425006393/d12032781_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425006393/d12032781_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425006215/d12024497_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425006215/d12024497_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425006127/d12020344_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425006127/d12020344_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425005921/d12010845_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425005921/d12010845_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425005887/d12007185_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425005887/d12007185_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425005788/d11996790_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425005788/d11996790_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425005770/d11992526_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425005770/d11992526_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425004591/d11962142_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425004591/d11962142_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425004419/d11960186_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425004419/d11960186_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425004279/d11954210_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425004279/d11954210_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425004277/d11954204_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425004277/d11954204_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425004249/d11861597_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425004249/d11861597_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425004232/d11860340_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425004232/d11860340_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425003849/d11840504_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425003849/d11840504_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425003622/d11827417_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425003622/d11827417_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425003546/d11822649_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425003546/d11822649_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425003467/d11817931_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425003467/d11817931_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425003466/d11819155_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425003466/d11819155_6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1041934/000117184325007449/f6k_112025.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1041934/000117184325007449/f6k_112025.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1041934/000117184325007394/f6k_111825.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1041934/000117184325007394/f6k_111825.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1041934/000117184325007072/f6k_110625.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1041934/000117184325007072/f6k_110625.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1041934/000117184325006522/f6k_102025.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1041934/000117184325006522/f6k_102025.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1041934/000117184325005786/f6k_090825.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1041934/000117184325005786/f6k_090825.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1041934/000117184325005765/f6k_090825.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1041934/000117184325005765/f6k_090825.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1041934/000117184325005622/f6k_082825.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1041934/000117184325005622/f6k_082825.htm?form=6-K,,path=edgar_financials
